"Name","License"
"Flask","BSD License"
"Flask-Cors","MIT License"
"Flask-OpenTracing","BSD License"
"Jinja2","BSD License"
"Keras-Preprocessing","MIT License"
"Markdown","BSD License"
"MarkupSafe","BSD License"
"PyYAML","MIT License"
"Werkzeug","BSD License"
"absl-py","Apache Software License"
"astunparse","BSD License"
"attrs","MIT License"
"azure-common","MIT License"
"azure-storage-blob","MIT License"
"azure-storage-common","MIT License"
"cachetools","MIT License"
"certifi","Mozilla Public License 2.0 (MPL 2.0)"
"cffi","MIT License"
"chardet","GNU Library or Lesser General Public License (LGPL)"
"click","BSD License"
"configparser","MIT License"
"cryptography","Apache Software License
"flatbuffers","Apache Software License"
"gast","BSD License"
"google-api-core","Apache Software License"
"google-auth","Apache Software License"
"google-auth-oauthlib","Apache Software License"
"google-cloud-core","Apache Software License"
"google-cloud-storage","Apache Software License"
"google-crc32c","Apache Software License"
"google-pasta","Apache Software License"
"google-resumable-media","Apache Software License"
"googleapis-common-protos","Apache Software License"
"grpcio","Apache Software License"
"grpcio-opentracing","Apache Software License"
"gunicorn","MIT License"
"h5py","BSD License"
"idna","BSD License"
"importlib-metadata","Apache Software License"
"itsdangerous","BSD License"
"jaeger-client","Apache Software License"
"jsonschema","MIT License"
"minio","Apache Software License"
"numpy","BSD"
"oauthlib","BSD License"
"opentracing","Apache Software License"
"opt-einsum","MIT"
"prometheus-client","Apache Software License"
"protobuf","3-Clause BSD License"
"pyasn1","BSD License"
"pyasn1-modules","BSD License"
"pycparser","BSD License"
"pyrsistent","MIT License"
"python-dateutil","BSD License
"pytz","MIT License"
"redis","MIT License"
"requests","Apache Software License"
"requests-oauthlib","BSD License"
"rsa","Apache Software License"
"scipy","BSD License"
"seldon-core","Apache 2.0"
"six","MIT License"
"tensorboard","Apache Software License"
"tensorboard-plugin-wit","Apache 2.0"
"tensorflow","Apache Software License"
"tensorflow-estimator","Apache Software License"
"termcolor","MIT License"
"threadloop","MIT License"
"thrift","Apache Software License"
"tornado","Apache Software License"
"urllib3","MIT License"
"wrapt","BSD License"
"zipp","MIT License"
